Organization legal name or 'doing business as' name,Group PAC ID, State,Measure Identifier,Measure Title,Measure Performance Rate,Footnote,State,Participating in PQRS,Inverse Measure,Reporting Mechanism,Reported on PC Live Site
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_5,Health promotion and education.,57.000,$null$,$null$,$null$,$null$,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_8,Courteous and helpful office staff.,85.000,$null$,$null$,$null$,$null$,$null$,$null$
CAROLINAEAST PHYSICIANS,143378117.000,NC,CAHPS_GRP_9,Clinicians working together for your care.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_1,Getting timely care, appointments, and information.,62.000,$null$,$null$,$null$,$null$,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_10,Between visit communication.,53.000,$null$,$null$,$null$,$null$,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_12,Attention to patient medication cost.,16.000,$null$,$null$,$null$,$null$,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_2,How well clinicians communicate.,85.000,$null$,$null$,$null$,$null$,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_3,Patients' rating of clinicians.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_5,Health promotion and education.,69.000,$null$,$null$,$null$,$null$,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_8,Courteous and helpful office staff.,82.000,$null$,$null$,$null$,$null$,$null$,$null$
NEWTON WELLESLEY AMBULATORY SERVICES, INC,244133494.000,MA,CAHPS_GRP_9,Clinicians working together for your care.,78.000,$null$,$null$,$null$,$null$,$null$,$null$
W A FOOTE MEMORIAL HOSPITAL INC,244136067.000,MI,CAHPS_GRP_1,Getting timely care, appointments, and information.,47.000,$null$,$null$,$null$,$null$,$null$,$null$
W A FOOTE MEMORIAL HOSPITAL INC,244136067.000,MI,CAHPS_GRP_10,Between visit communication.,58.000,$null$,$null$,$null$,$null$,$null$,$null$
W A FOOTE MEMORIAL HOSPITAL INC,244136067.000,MI,CAHPS_GRP_12,Attention to patient medication cost.,25.000,$null$,$null$,$null$,$null$,$null$,$null$
W A FOOTE MEMORIAL HOSPITAL INC,244136067.000,MI,CAHPS_GRP_2,How well clinicians communicate.,82.663,8.000,$null$,$null$,$null$,$null$,$null$
W A FOOTE MEMORIAL HOSPITAL INC,244136067.000,MI,CAHPS_GRP_3,Patients' rating of clinicians.,75.000,$null$,$null$,$null$,$null$,$null$,$null$
W A FOOTE MEMORIAL HOSPITAL INC,244136067.000,MI,CAHPS_GRP_5,Health promotion and education.,64.000,$null$,$null$,$null$,$null$,$null$,$null$
W A FOOTE MEMORIAL HOSPITAL INC,244136067.000,MI,CAHPS_GRP_8,Courteous and helpful office staff.,81.274,8.000,$null$,$null$,$null$,$null$,$null$
W A FOOTE MEMORIAL HOSPITAL INC,244136067.000,MI,CAHPS_GRP_9,Clinicians working together for your care.,75.698,8.000,$null$,$null$,$null$,$null$,$null$
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448.000,LA,CAHPS_GRP_1,Getting timely care, appointments, and information.,51.000,$null$,$null$,$null$,$null$,$null$,$null$
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448.000,LA,CAHPS_GRP_10,Between visit communication.,63.000,$null$,$null$,$null$,$null$,$null$,$null$
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448.000,LA,CAHPS_GRP_12,Attention to patient medication cost.,27.000,$null$,$null$,$null$,$null$,$null$,$null$
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448.000,LA,CAHPS_GRP_2,How well clinicians communicate.,82.663,8.000,$null$,$null$,$null$,$null$,$null$
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448.000,LA,CAHPS_GRP_3,Patients' rating of clinicians.,81.274,8.000,$null$,$null$,$null$,$null$,$null$
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448.000,LA,CAHPS_GRP_5,Health promotion and education.,64.000,$null$,$null$,$null$,$null$,$null$,$null$
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448.000,LA,CAHPS_GRP_8,Courteous and helpful office staff.,81.274,8.000,$null$,$null$,$null$,$null$,$null$
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448.000,LA,CAHPS_GRP_9,Clinicians working together for your care.,73.000,$null$,$null$,$null$,$null$,$null$,$null$
NETWORK HEALTH SYSTEM, INC.,244142420.000,WI,CAHPS_GRP_1,Getting timely care, appointments, and information.,53.000,$null$,$null$,$null$,$null$,$null$,$null$
NETWORK HEALTH SYSTEM, INC.,244142420.000,WI,CAHPS_GRP_10,Between visit communication.,53.000,$null$,$null$,$null$,$null$,$null$,$null$
NETWORK HEALTH SYSTEM, INC.,244142420.000,WI,CAHPS_GRP_12,Attention to patient medication cost.,21.000,$null$,$null$,$null$,$null$,$null$,$null$
NETWORK HEALTH SYSTEM, INC.,244142420.000,WI,CAHPS_GRP_2,How well clinicians communicate.,79.000,$null$,$null$,$null$,$null$,$null$,$null$
NETWORK HEALTH SYSTEM, INC.,244142420.000,WI,CAHPS_GRP_3,Patients' rating of clinicians.,78.000,$null$,$null$,$null$,$null$,$null$,$null$
NETWORK HEALTH SYSTEM, INC.,244142420.000,WI,CAHPS_GRP_5,Health promotion and education.,63.000,$null$,$null$,$null$,$null$,$null$,$null$
NETWORK HEALTH SYSTEM, INC.,244142420.000,WI,CAHPS_GRP_8,Courteous and helpful office staff.,81.000,$null$,$null$,$null$,$null$,$null$,$null$
NETWORK HEALTH SYSTEM, INC.,244142420.000,WI,CAHPS_GRP_9,Clinicians working together for your care.,73.000,$null$,$null$,$null$,$null$,$null$,$null$
EAST CAROLINA UNIVERSITY,244143246.000,NC,CAHPS_GRP_1,Getting timely care, appointments, and information.,65.000,$null$,$null$,$null$,$null$,$null$,$null$
EAST CAROLINA UNIVERSITY,244143246.000,NC,CAHPS_GRP_10,Between visit communication.,56.000,$null$,$null$,$null$,$null$,$null$,$null$
EAST CAROLINA UNIVERSITY,244143246.000,NC,CAHPS_GRP_12,Attention to patient medication cost.,34.000,$null$,$null$,$null$,$null$,$null$,$null$
EAST CAROLINA UNIVERSITY,244143246.000,NC,CAHPS_GRP_2,How well clinicians communicate.,82.000,$null$,$null$,$null$,$null$,$null$,$null$
EAST CAROLINA UNIVERSITY,244143246.000,NC,CAHPS_GRP_3,Patients' rating of clinicians.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
EAST CAROLINA UNIVERSITY,244143246.000,NC,CAHPS_GRP_5,Health promotion and education.,60.000,$null$,$null$,$null$,$null$,$null$,$null$
EAST CAROLINA UNIVERSITY,244143246.000,NC,CAHPS_GRP_8,Courteous and helpful office staff.,78.000,$null$,$null$,$null$,$null$,$null$,$null$
EAST CAROLINA UNIVERSITY,244143246.000,NC,CAHPS_GRP_9,Clinicians working together for your care.,77.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD CLINIC,244143824.000,SD,CAHPS_GRP_1,Getting timely care, appointments, and information.,66.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD CLINIC,244143824.000,SD,CAHPS_GRP_10,Between visit communication.,63.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD CLINIC,244143824.000,SD,CAHPS_GRP_12,Attention to patient medication cost.,27.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD CLINIC,244143824.000,SD,CAHPS_GRP_2,How well clinicians communicate.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD CLINIC,244143824.000,SD,CAHPS_GRP_3,Patients' rating of clinicians.,78.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD CLINIC,244143824.000,SD,CAHPS_GRP_5,Health promotion and education.,63.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD CLINIC,244143824.000,SD,CAHPS_GRP_8,Courteous and helpful office staff.,90.000,$null$,$null$,$null$,$null$,$null$,$null$
SANFORD CLINIC,244143824.000,SD,CAHPS_GRP_9,Clinicians working together for your care.,79.000,$null$,$null$,$null$,$null$,$null$,$null$
COVENANT MEDICAL CENTER INC,244148732.000,IA,CAHPS_GRP_1,Getting timely care, appointments, and information.,59.000,$null$,$null$,$null$,$null$,$null$,$null$
COVENANT MEDICAL CENTER INC,244148732.000,IA,CAHPS_GRP_10,Between visit communication.,65.000,$null$,$null$,$null$,$null$,$null$,$null$
COVENANT MEDICAL CENTER INC,244148732.000,IA,CAHPS_GRP_12,Attention to patient medication cost.,27.000,$null$,$null$,$null$,$null$,$null$,$null$
COVENANT MEDICAL CENTER INC,244148732.000,IA,CAHPS_GRP_2,How well clinicians communicate.,85.000,$null$,$null$,$null$,$null$,$null$,$null$
COVENANT MEDICAL CENTER INC,244148732.000,IA,CAHPS_GRP_3,Patients' rating of clinicians.,81.000,$null$,$null$,$null$,$null$,$null$,$null$
COVENANT MEDICAL CENTER INC,244148732.000,IA,CAHPS_GRP_5,Health promotion and education.,65.000,$null$,$null$,$null$,$null$,$null$,$null$
COVENANT MEDICAL CENTER INC,244148732.000,IA,CAHPS_GRP_8,Courteous and helpful office staff.,84.000,$null$,$null$,$null$,$null$,$null$,$null$
COVENANT MEDICAL CENTER INC,244148732.000,IA,CAHPS_GRP_9,Clinicians working together for your care.,72.000,$null$,$null$,$null$,$null$,$null$,$null$
THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC,244314102.000,OH,CAHPS_GRP_1,Getting timely care, appointments, and information.,69.000,$null$,$null$,$null$,$null$,$null$,$null$
THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC,244314102.000,OH,CAHPS_GRP_10,Between visit communication.,58.000,$null$,$null$,$null$,$null$,$null$,$null$
THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC,244314102.000,OH,CAHPS_GRP_12,Attention to patient medication cost.,25.000,$null$,$null$,$null$,$null$,$null$,$null$
THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC,244314102.000,OH,CAHPS_GRP_2,How well clinicians communicate.,85.000,$null$,$null$,$null$,$null$,$null$,$null$
THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC,244314102.000,OH,CAHPS_GRP_3,Patients' rating of clinicians.,85.000,$null$,$null$,$null$,$null$,$null$,$null$
THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC,244314102.000,OH,CAHPS_GRP_5,Health promotion and education.,62.000,$null$,$null$,$null$,$null$,$null$,$null$
THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC,244314102.000,OH,CAHPS_GRP_8,Courteous and helpful office staff.,85.000,$null$,$null$,$null$,$null$,$null$,$null$
THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC,244314102.000,OH,CAHPS_GRP_9,Clinicians working together for your care.,78.000,$null$,$null$,$null$,$null$,$null$,$null$
LANDM PHYSICIAN ASSOCIATION INC,244373330.000,CT,CAHPS_GRP_1,Getting timely care, appointments, and information.,63.000,$null$,$null$,$null$,$null$,$null$,$null$
LANDM PHYSICIAN ASSOCIATION INC,244373330.000,CT,CAHPS_GRP_10,Between visit communication.,43.000,$null$,$null$,$null$,$null$,$null$,$null$
LANDM PHYSICIAN ASSOCIATION INC,244373330.000,CT,CAHPS_GRP_12,Attention to patient medication cost.,24.000,$null$,$null$,$null$,$null$,$null$,$null$
LANDM PHYSICIAN ASSOCIATION INC,244373330.000,CT,CAHPS_GRP_2,How well clinicians communicate.,85.000,$null$,$null$,$null$,$null$,$null$,$null$
LANDM PHYSICIAN ASSOCIATION INC,244373330.000,CT,CAHPS_GRP_3,Patients' rating of clinicians.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
LANDM PHYSICIAN ASSOCIATION INC,244373330.000,CT,CAHPS_GRP_5,Health promotion and education.,61.000,$null$,$null$,$null$,$null$,$null$,$null$
LANDM PHYSICIAN ASSOCIATION INC,244373330.000,CT,CAHPS_GRP_8,Courteous and helpful office staff.,81.000,$null$,$null$,$null$,$null$,$null$,$null$
LANDM PHYSICIAN ASSOCIATION INC,244373330.000,CT,CAHPS_GRP_9,Clinicians working together for your care.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
UNITY HEALTH NETWORK, LLC,244379717.000,OH,CAHPS_GRP_1,Getting timely care, appointments, and information.,61.000,$null$,$null$,$null$,$null$,$null$,$null$
UNITY HEALTH NETWORK, LLC,244379717.000,OH,CAHPS_GRP_10,Between visit communication.,41.000,$null$,$null$,$null$,$null$,$null$,$null$
UNITY HEALTH NETWORK, LLC,244379717.000,OH,CAHPS_GRP_12,Attention to patient medication cost.,31.000,$null$,$null$,$null$,$null$,$null$,$null$
UNITY HEALTH NETWORK, LLC,244379717.000,OH,CAHPS_GRP_2,How well clinicians communicate.,83.000,$null$,$null$,$null$,$null$,$null$,$null$
UNITY HEALTH NETWORK, LLC,244379717.000,OH,CAHPS_GRP_3,Patients' rating of clinicians.,79.000,$null$,$null$,$null$,$null$,$null$,$null$
UNITY HEALTH NETWORK, LLC,244379717.000,OH,CAHPS_GRP_5,Health promotion and education.,57.000,$null$,$null$,$null$,$null$,$null$,$null$
UNITY HEALTH NETWORK, LLC,244379717.000,OH,CAHPS_GRP_8,Courteous and helpful office staff.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
UNITY HEALTH NETWORK, LLC,244379717.000,OH,CAHPS_GRP_9,Clinicians working together for your care.,75.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER WEST BAY MEDICAL FOUNDATION,345145025.000,CA,CAHPS_GRP_1,Getting timely care, appointments, and information.,65.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER WEST BAY MEDICAL FOUNDATION,345145025.000,CA,CAHPS_GRP_10,Between visit communication.,68.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER WEST BAY MEDICAL FOUNDATION,345145025.000,CA,CAHPS_GRP_12,Attention to patient medication cost.,27.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER WEST BAY MEDICAL FOUNDATION,345145025.000,CA,CAHPS_GRP_2,How well clinicians communicate.,85.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER WEST BAY MEDICAL FOUNDATION,345145025.000,CA,CAHPS_GRP_3,Patients' rating of clinicians.,85.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER WEST BAY MEDICAL FOUNDATION,345145025.000,CA,CAHPS_GRP_5,Health promotion and education.,63.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER WEST BAY MEDICAL FOUNDATION,345145025.000,CA,CAHPS_GRP_8,Courteous and helpful office staff.,83.000,$null$,$null$,$null$,$null$,$null$,$null$
SUTTER WEST BAY MEDICAL FOUNDATION,345145025.000,CA,CAHPS_GRP_9,Clinicians working together for your care.,77.000,$null$,$null$,$null$,$null$,$null$,$null$
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254.000,FL,CAHPS_GRP_1,Getting timely care, appointments, and information.,55.000,$null$,$null$,$null$,$null$,$null$,$null$
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254.000,FL,CAHPS_GRP_10,Between visit communication.,50.000,$null$,$null$,$null$,$null$,$null$,$null$
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254.000,FL,CAHPS_GRP_12,Attention to patient medication cost.,25.000,$null$,$null$,$null$,$null$,$null$,$null$
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254.000,FL,CAHPS_GRP_2,How well clinicians communicate.,82.000,$null$,$null$,$null$,$null$,$null$,$null$
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254.000,FL,CAHPS_GRP_3,Patients' rating of clinicians.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254.000,FL,CAHPS_GRP_5,Health promotion and education.,61.000,$null$,$null$,$null$,$null$,$null$,$null$
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254.000,FL,CAHPS_GRP_8,Courteous and helpful office staff.,82.000,$null$,$null$,$null$,$null$,$null$,$null$
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254.000,FL,CAHPS_GRP_9,Clinicians working together for your care.,74.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.,345152443.000,WI,CAHPS_GRP_1,Getting timely care, appointments, and information.,54.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.,345152443.000,WI,CAHPS_GRP_10,Between visit communication.,57.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.,345152443.000,WI,CAHPS_GRP_12,Attention to patient medication cost.,30.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.,345152443.000,WI,CAHPS_GRP_2,How well clinicians communicate.,83.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.,345152443.000,WI,CAHPS_GRP_3,Patients' rating of clinicians.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.,345152443.000,WI,CAHPS_GRP_5,Health promotion and education.,63.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.,345152443.000,WI,CAHPS_GRP_8,Courteous and helpful office staff.,86.000,$null$,$null$,$null$,$null$,$null$,$null$
MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.,345152443.000,WI,CAHPS_GRP_9,Clinicians working together for your care.,75.000,$null$,$null$,$null$,$null$,$null$,$null$
AVERA MCKENNAN,345157103.000,SD,CAHPS_GRP_1,Getting timely care, appointments, and information.,59.000,$null$,$null$,$null$,$null$,$null$,$null$
AVERA MCKENNAN,345157103.000,SD,CAHPS_GRP_10,Between visit communication.,56.000,$null$,$null$,$null$,$null$,$null$,$null$
AVERA MCKENNAN,345157103.000,SD,CAHPS_GRP_12,Attention to patient medication cost.,29.000,$null$,$null$,$null$,$null$,$null$,$null$
AVERA MCKENNAN,345157103.000,SD,CAHPS_GRP_2,How well clinicians communicate.,81.000,$null$,$null$,$null$,$null$,$null$,$null$
AVERA MCKENNAN,345157103.000,SD,CAHPS_GRP_3,Patients' rating of clinicians.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
AVERA MCKENNAN,345157103.000,SD,CAHPS_GRP_5,Health promotion and education.,57.000,$null$,$null$,$null$,$null$,$null$,$null$
AVERA MCKENNAN,345157103.000,SD,CAHPS_GRP_8,Courteous and helpful office staff.,80.000,$null$,$null$,$null$,$null$,$null$,$null$
AVERA MCKENNAN,345157103.000,SD,CAHPS_GRP_9,Clinicians working together for your care.,75.000,$null$,$null$,$null$,$null$,$null$,$null$
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478.000,FL,CAHPS_GRP_1,Getting timely care, appointments, and information.,59.000,$null$,$null$,$null$,$null$,$null$,$null$
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478.000,FL,CAHPS_GRP_10,Between visit communication.,67.000,$null$,$null$,$null$,$null$,$null$,$null$
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478.000,FL,CAHPS_GRP_12,Attention to patient medication cost.,25.000,$null$,$null$,$null$,$null$,$null$,$null$
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478.000,FL,CAHPS_GRP_2,How well clinicians communicate.,83.000,$null$,$null$,$null$,$null$,$null$,$null$
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478.000,FL,CAHPS_GRP_3,Patients' rating of clinicians.,78.000,$null$,$null$,$null$,$null$,$null$,$null$
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478.000,FL,CAHPS_GRP_5,Health promotion and education.,64.000,$null$,$null$,$null$,$null$,$null$,$null$
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478.000,FL,CAHPS_GRP_8,Courteous and helpful office staff.,72.000,$null$,$null$,$null$,$null$,$null$,$null$
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478.000,FL,CAHPS_GRP_9,Clinicians working together for your care.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY FOUNDATION MEDICAL GROUP,345406294.000,CA,CAHPS_GRP_1,Getting timely care, appointments, and information.,53.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY FOUNDATION MEDICAL GROUP,345406294.000,CA,CAHPS_GRP_10,Between visit communication.,59.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY FOUNDATION MEDICAL GROUP,345406294.000,CA,CAHPS_GRP_12,Attention to patient medication cost.,26.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY FOUNDATION MEDICAL GROUP,345406294.000,CA,CAHPS_GRP_2,How well clinicians communicate.,79.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY FOUNDATION MEDICAL GROUP,345406294.000,CA,CAHPS_GRP_3,Patients' rating of clinicians.,76.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY FOUNDATION MEDICAL GROUP,345406294.000,CA,CAHPS_GRP_5,Health promotion and education.,61.000,$null$,$null$,$null$,$null$,$null$,$null$
COMMUNITY FOUNDATION MEDICAL GROUP,345406294.000,CA,CAHPS_GRP_8,Courteous and helpful office staff.,79.000,$null$,$null$,$null$,$null$,$null$,$null$
